Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.828,0.7581699346405228,0.703030303030303,0.7295597484276729,0.9007507914970602
Random Forest,0.818,0.7661870503597122,0.6454545454545455,0.7006578947368421,0.8755269109000452
